engine,policy,terrain,case,seed,outcome,failure_flags,completed,physical_traversal,unsafe_reasons,unsafe_time_s,hard_joint_margin_min_rad,wheel_speed_max_rad_s,wheel_saturation_max_fraction
Isaac,10000,flat,stand,7201,success,,True,,,,0.8222801685333252,5.400978088378906,0.0
Isaac,10000,flat,stand,7202,success,,True,,,,0.8167703151702881,5.841480255126953,0.0
Isaac,10000,flat,stand,7203,success,,True,,,,0.8284092545509338,5.584110260009766,0.0
Isaac,10000,flat,stand,7204,success,,True,,,,0.822357177734375,5.374923229217529,0.0
Isaac,10000,flat,stand,7205,success,,True,,,,0.8229279518127441,6.590747356414795,0.0
Isaac,10000,flat,stand,7206,success,,True,,,,0.8324123620986938,4.9361138343811035,0.0
Isaac,10000,flat,stand,7207,success,,True,,,,0.8239657282829285,5.995710849761963,0.0
Isaac,10000,flat,stand,7208,success,,True,,,,0.8216970562934875,4.183111667633057,0.0
Isaac,10000,flat,stand,7209,success,,True,,,,0.8221004605293274,5.339799880981445,0.0
Isaac,10000,flat,stand,7210,success,,True,,,,0.8357893824577332,9.139713287353516,0.0
Isaac,10000,flat,stand,7211,success,,True,,,,0.8261720538139343,5.408187389373779,0.0
Isaac,10000,flat,stand,7212,success,,True,,,,0.8274901509284973,10.985011100769043,0.0
Isaac,10000,flat,stand,7213,success,,True,,,,0.8295695781707764,4.7743120193481445,0.0
Isaac,10000,flat,stand,7214,success,,True,,,,0.8260970711708069,6.1811137199401855,0.0
Isaac,10000,flat,stand,7215,success,,True,,,,0.8254554271697998,5.537195205688477,0.0
Isaac,10000,flat,stand,7216,success,,True,,,,0.8352214694023132,11.710633277893066,0.0
Isaac,10000,flat,vx_-0.50,7201,success,,True,,,,0.6919695138931274,15.085558891296387,0.00034090909090909094
Isaac,10000,flat,vx_-0.50,7202,success,,True,,,,0.6859241127967834,17.17160987854004,0.0009090909090909091
Isaac,10000,flat,vx_-0.50,7203,success,,True,,,,0.6712950468063354,16.896013259887695,0.00034090909090909094
Isaac,10000,flat,vx_-0.50,7204,success,,True,,,,0.6824546456336975,14.123735427856445,0.00022727272727272727
Isaac,10000,flat,vx_-0.50,7205,success,,True,,,,0.6856798529624939,17.28095817565918,0.00125
Isaac,10000,flat,vx_-0.50,7206,success,,True,,,,0.6860735416412354,14.737454414367676,0.0007954545454545455
Isaac,10000,flat,vx_-0.50,7207,success,,True,,,,0.6770238280296326,16.4988956451416,0.00034090909090909094
Isaac,10000,flat,vx_-0.50,7208,success,,True,,,,0.6904846429824829,18.724842071533203,0.00045454545454545455
Isaac,10000,flat,vx_-0.50,7209,success,,True,,,,0.6714738607406616,15.546891212463379,0.0014772727272727272
Isaac,10000,flat,vx_-0.50,7210,success,,True,,,,0.6844446659088135,16.94021224975586,0.00045454545454545455
Isaac,10000,flat,vx_-0.50,7211,success,,True,,,,0.6856809854507446,17.22273826599121,0.0006818181818181819
Isaac,10000,flat,vx_-0.50,7212,success,,True,,,,0.6875073313713074,15.324718475341797,0.0011363636363636363
